Key,Captured value
Location of supplier,SS LOGISTICS TRANSPORTER BOOKING DOORNO:1303(16)SANJAYGANDHICOLONY RANGAREDDYAPARTMENTS LELAMAHALCIRCLE TIRUPATHI-517507.
Bill to,AMARA RAJA BATTERIES LTD NUNEGUNDLAPALLI BANGARUPALYAM MANDAL CHITTOORDISTANDHRAPRADESH INDIAPIN-517416.
Invoice Date, 16.11.2020
Truck number,aeo2x2779
Date of Dispatch, 29.10.2020
Proposed Date of Delivery, 31.10.2020
Actual Date of Reported, 30.10.2020
Unloaded Date, 30.10.2020
SAC code,996511
SGST,@ 250% 638
CGST,@ 250% 638
IGST,
Contract rate,25500
